Ntotal t1 t2 t3 t4 t5 winner prob_superior prob_futile
200 34 50 35 48 33 NA 0.944 0.454
200 48 37 42 39 34 NA 0.438 0.822
200 47 43 23 27 60 NA 0.382 0.97
200 44 39 36 37 44 NA 0.728 0.684
200 32 48 72 31 17 NA 0.082 0.994
200 48 29 49 36 38 NA 0.864 0.63
80 12 16 15 17 20 2 0.998 0.304
200 38 42 29 44 47 NA 0.846 0.528
200 40 41 27 39 53 NA 0.724 0.448
200 39 61 31 50 19 NA 0.314 0.94
200 42 11 39 40 68 NA 0.232 1
200 53 50 14 39 44 NA 0.424 0.928
200 39 30 86 15 30 NA 0.59 0.976
200 32 24 56 58 30 NA 0.358 0.932
200 43 62 35 17 43 NA 0.376 0.988
200 42 27 15 24 92 NA 0.768 0.984
200 44 12 47 73 24 NA 0.26 0.946
200 41 57 32 52 18 NA 0.566 0.794
200 36 72 39 40 13 NA 0.876 0.92
200 40 65 38 8 49 NA 0.344 1
200 39 22 55 46 38 NA 0.882 0.704
200 38 53 41 32 36 NA 0.752 0.494
200 46 45 56 38 15 NA 0.956 0.606
200 34 43 43 38 42 NA 0.97 0.17
200 37 64 49 20 30 NA 0.892 0.626
200 35 16 32 88 29 NA 0.28 0.974
200 29 40 39 51 41 NA 0.924 0.462
200 44 36 14 86 20 NA 0.302 0.992
200 39 52 46 8 55 NA 0.36 0.988
200 51 67 24 47 11 NA 0.738 0.914
200 39 46 52 27 36 NA 0.884 0.78
200 44 53 22 28 53 NA 0.908 0.56
200 40 38 83 27 12 NA 0.438 0.928
80 12 15 22 19 12 2 0.994 0.278
140 30 19 19 35 37 4 0.996 0.388
200 39 53 29 19 60 NA 0.736 0.896
200 51 13 61 33 42 NA 0.654 0.976
200 36 27 48 50 39 NA 0.878 0.636
200 31 36 57 44 32 NA 0.93 0.496
200 43 44 23 53 37 NA 0.848 0.52
200 49 51 39 40 21 NA 0.172 0.954
200 39 60 39 32 30 NA 0.386 0.922
200 31 60 40 37 32 NA 0.604 0.908
200 33 41 29 53 44 NA 0.34 0.908
200 38 44 56 31 31 NA 0.756 0.862
200 48 48 29 25 50 NA 0.474 0.91
200 43 60 28 59 10 NA 0.912 0.914
200 43 17 48 39 53 NA 0.972 0.976
200 38 31 56 33 42 NA 0.838 0.712
140 28 35 21 24 32 4 1 0.116
200 41 46 37 39 37 NA 0.52 0.67
200 38 42 57 17 46 NA 0.47 0.986
200 42 26 68 50 14 NA 0.558 0.974
200 33 31 42 44 50 NA 0.894 0.614
170 40 43 26 33 28 2 0.994 0.102
200 40 49 37 43 31 NA 0.28 0.898
200 42 46 38 38 36 NA 0.496 0.93
200 45 23 55 33 44 NA 0.946 0.83
200 34 47 37 37 45 NA 0.706 0.714
200 36 33 67 15 49 NA 0.542 0.988
200 32 48 21 51 48 NA 0.754 0.84
200 39 42 50 19 50 NA 0.714 0.858
200 35 27 13 71 54 NA 0.578 0.994
200 46 28 68 25 33 NA 0.902 0.856
80 13 22 16 13 16 2 0.998 0.19
200 36 48 40 55 21 NA 0.776 0.848
200 38 30 45 44 43 NA 0.756 0.938
200 48 12 31 49 60 NA 0.46 0.996
200 42 40 39 37 42 NA 0.85 0.608
200 38 51 29 30 52 NA 0.822 0.774
200 38 36 37 52 37 NA 0.754 0.552
200 34 56 39 36 35 NA 0.872 0.792
200 44 19 70 40 27 NA 0.844 0.744
200 27 40 35 41 57 NA 0.69 0.77
200 46 26 92 20 16 NA 0.502 0.954
200 48 33 49 44 26 NA 0.462 0.716
200 48 29 50 25 48 NA 0.38 0.912
80 21 17 16 16 10 3 0.992 0.76
200 42 47 39 24 48 NA 0.932 0.714
200 48 45 36 24 47 NA 0.702 0.786
200 34 65 60 19 22 NA 0.332 0.994
200 45 43 25 31 56 NA 0.4 0.944
200 46 45 14 62 33 NA 0.624 0.924
200 37 31 44 46 42 NA 0.894 0.51
200 36 34 30 60 40 NA 0.774 0.822
200 44 32 38 54 32 NA 0.882 0.542
200 39 32 34 46 49 NA 0.804 0.628
200 42 9 20 94 35 NA 0.046 1
200 37 19 57 46 41 NA 0.6 0.902
200 41 40 53 29 37 NA 0.762 0.446
200 36 30 27 48 59 NA 0.742 0.716
140 21 27 26 27 39 4 0.998 0.514
200 31 39 39 52 39 NA 0.578 0.73
200 48 40 38 60 14 NA 0.77 0.906
200 42 34 19 39 66 NA 0.814 0.9
200 39 39 53 12 57 NA 0.54 0.992
200 43 42 37 39 39 NA 0.884 0.272
200 36 32 34 50 48 NA 0.94 0.774
200 34 48 35 48 35 NA 0.95 0.24
200 38 37 45 47 33 NA 0.56 0.762
200 35 38 41 51 35 NA 0.444 0.83
200 37 27 33 33 70 NA 0.75 0.902
200 40 34 24 44 58 NA 0.752 0.824
200 39 36 43 43 39 NA 0.518 0.644
200 38 21 57 58 26 NA 0.442 0.938
200 52 31 44 25 48 NA 0.91 0.724
200 52 43 60 31 14 NA 0.748 0.852
200 39 21 32 62 46 NA 0.776 0.846
200 44 33 50 51 22 NA 0.878 0.758
200 44 35 28 51 42 NA 0.674 0.81
200 38 15 39 54 54 NA 0.072 0.986
200 38 45 45 41 31 NA 0.854 0.49
200 40 45 26 39 50 NA 0.474 0.848
200 33 41 58 36 32 NA 0.952 0.354
200 44 12 71 34 39 NA 0.27 0.99
200 33 35 35 34 63 NA 0.064 0.994
80 11 14 17 14 24 4 0.994 0.184
200 33 49 55 41 22 NA 0.774 0.944
200 38 44 37 32 49 NA 0.986 0.348
200 31 62 51 43 13 NA 0.962 0.786
200 45 65 38 37 15 NA 0.69 0.99
200 40 80 36 21 23 NA 0.286 0.998
200 34 27 45 36 58 NA 0.414 0.952
200 46 19 74 44 17 NA 0.956 0.884
140 35 11 38 38 18 3 0.996 0.858
80 16 13 18 18 15 2 0.992 0.58
200 41 42 28 44 45 NA 0.91 0.516
200 42 60 50 8 40 NA 0.03 1
200 42 39 74 28 17 NA 0.6 0.926
200 44 45 49 22 40 NA 0.96 0.862
200 40 24 48 42 46 4 0.992 0.514
200 40 33 41 45 41 NA 0.84 0.676
200 38 38 37 33 54 NA 0.716 0.404
200 44 28 52 33 43 NA 0.152 0.92
200 40 50 31 35 44 NA 0.636 0.584
200 30 49 38 33 50 NA 0.74 0.38
140 25 50 26 14 25 1 0.996 0.11
200 35 20 51 60 34 NA 0.41 0.83
200 36 53 60 28 23 NA 0.96 0.718
50 10 10 10 10 10 -1 0.94 0.082
200 31 37 41 42 49 NA 0.688 0.644
200 38 26 39 61 36 NA 0.894 0.598
200 44 29 34 45 48 NA 0.3 0.892
200 44 45 39 33 39 NA 0.816 0.698
200 34 66 34 13 53 NA 0.348 0.998
200 43 35 36 38 48 NA 0.548 0.74
200 46 55 27 53 19 NA 0.846 0.722
200 41 24 45 57 33 NA 0.646 0.834
200 42 26 34 39 59 NA 0.338 0.898
200 50 75 23 17 35 NA 0.206 0.99
200 41 59 25 47 28 NA 0.742 0.766
200 41 31 39 74 15 NA 0.398 0.992
200 47 16 28 48 61 NA 0.652 0.94
200 43 19 37 35 66 NA 0.09 0.982
110 26 14 28 14 28 2 0.996 0.678
200 47 19 52 26 56 NA 0.558 0.966
200 46 35 33 45 41 NA 0.374 0.852
200 53 29 24 52 42 NA 0.946 0.526
200 40 42 71 21 26 NA 0.728 0.878
200 42 25 57 17 59 NA 0.312 0.99
200 32 12 54 38 64 NA 0.63 0.85
200 43 41 49 43 24 NA 0.43 0.89
200 50 15 38 33 64 NA 0.29 1
200 42 23 59 27 49 NA 0.94 0.752
200 37 46 37 28 52 NA 0.75 0.728
200 39 44 48 24 45 NA 0.388 0.98
200 45 16 71 40 28 NA 0.694 0.94
200 41 51 33 38 37 NA 0.896 0.556
200 41 37 22 14 86 NA 0.122 0.998
200 37 56 37 19 51 NA 0.932 0.932
200 39 19 39 38 65 NA 0.626 0.97
200 45 32 20 67 36 NA 0.218 1
200 39 94 36 20 11 NA 0.24 0.962
200 50 30 47 26 47 NA 0.89 0.758
200 36 62 61 24 17 NA 0.338 0.986
200 50 29 50 40 31 NA 0.92 0.148
80 12 24 15 14 15 3 1 0.13
200 35 54 29 37 45 NA 0.402 0.804
200 49 32 52 19 48 NA 0.39 0.996
200 44 47 34 19 56 NA 0.616 0.962
200 34 42 26 45 53 NA 0.568 0.518
200 43 27 91 23 16 NA 0.526 0.962
200 51 45 29 16 59 NA 0.308 0.968
200 46 8 76 31 39 NA 0.228 1
200 36 43 46 53 22 NA 0.384 0.958
200 36 52 50 29 33 NA 0.422 0.976
200 49 73 32 39 7 NA 0.606 0.986
200 38 23 46 51 42 NA 0.236 0.86
200 42 33 33 51 41 NA 0.58 0.654
200 46 51 31 52 20 NA 0.9 0.67
200 28 53 45 28 46 NA 0.712 0.794
200 52 32 32 47 37 NA 0.828 0.548
200 48 42 63 16 31 NA 0.916 0.882
200 46 12 10 86 46 NA 0.522 0.996
200 46 24 56 39 35 NA 0.954 0.77
200 35 48 51 36 30 NA 0.634 0.676
200 51 23 26 66 34 NA 0.464 0.792
200 40 27 44 37 52 NA 0.332 0.838
200 43 44 32 29 52 NA 0.06 0.992
200 48 29 37 49 37 NA 0.796 0.602
200 31 64 24 54 27 0 0.762 0.25 0.4 0.068 0.238 0.75 0.6 0.932
200 47 35 31 53 34 0 0.02 0.024 0.422 0.012 0.98 0.976 0.578 0.988
200 31 13 49 86 21 0 0.008 0.328 0.486 0.086 0.992 0.672 0.514 0.914
200 42 58 73 12 15 0 0.934 0.82 0.016 0.036 0.066 0.18 0.984 0.964
200 44 35 52 21 48 0 0.778 0.93 0.494 0.968 0.222 0.07 0.506 0.032
200 43 47 45 31 34 0 0.54 0.968 0.732 0.872 0.46 0.032 0.268 0.128
200 27 64 32 40 37 0 0.726 0.606 0.808 0.43 0.274 0.394 0.192 0.57
200 41 37 58 31 33 0 0.778 0.776 0.696 0.778 0.222 0.224 0.304 0.222
200 40 38 56 38 28 0 0.49 0.728 0.874 0.404 0.51 0.272 0.126 0.596
200 29 17 51 82 21 0 0.146 0.73 0.774 0.286 0.854 0.27 0.226 0.714
170 38 31 22 39 40 1 0.994 0.548 0.942 0.858 0.006 0.452 0.058 0.142
200 48 31 13 41 67 0 0.298 0.182 0.29 0.518 0.702 0.818 0.71 0.482
200 44 39 47 43 27 0 0.29 0.934 0.612 0.51 0.71 0.066 0.388 0.49
200 42 30 30 53 45 0 0.47 0.314 0.71 0.304 0.53 0.686 0.29 0.696
200 43 27 57 37 36 0 0.086 0.684 0.534 0.498 0.914 0.316 0.466 0.502
200 31 29 37 60 43 0 0.106 0.228 0.326 0.374 0.894 0.772 0.674 0.626
200 42 41 31 50 36 0 0.662 0.566 0.462 0.512 0.338 0.434 0.538 0.488
200 32 25 57 58 28 0 0.146 0.426 0.68 0.252 0.854 0.574 0.32 0.748
200 36 85 40 8 31 0 0.728 0.186 0.02 0.038 0.272 0.814 0.98 0.962
200 41 29 51 28 51 0 0.072 0.88 0.854 0.608 0.928 0.12 0.146 0.392
200 30 28 27 59 56 0 0.32 0.044 0.658 0.314 0.68 0.956 0.342 0.686
140 30 25 29 28 28 4 0.938 0.76 0.682 0.992 0.062 0.24 0.318 0.008
200 38 43 70 10 39 0 0.038 0.102 0 0.15 0.962 0.898 1 0.85
200 40 39 37 29 55 4 0.968 0.894 0.718 0.994 0.032 0.106 0.282 0.006
200 36 44 51 25 44 0 0.544 0.284 0.32 0.428 0.456 0.716 0.68 0.572
200 39 59 19 40 43 0 0.132 0.002 0.172 0.072 0.868 0.998 0.828 0.928
200 43 47 49 49 12 0 0.896 0.828 0.836 0.154 0.104 0.172 0.164 0.846
200 41 47 46 42 24 0 0.684 0.448 0.162 0.038 0.316 0.552 0.838 0.962
50 16 8 9 7 10 1 1 0.372 0.734 0.696 0 0.628 0.266 0.304
50 8 7 9 14 12 2 0.918 0.998 0.89 0.954 0.082 0.002 0.11 0.046
200 28 58 43 41 30 0 0.76 0.886 0.75 0.464 0.24 0.114 0.25 0.536
200 42 58 16 46 38 0 0.766 0.164 0.88 0.582 0.234 0.836 0.12 0.418
200 31 21 37 70 41 0 0.278 0.32 0.832 0.256 0.722 0.68 0.168 0.744
200 39 35 56 32 38 0 0.038 0.29 0.084 0.164 0.962 0.71 0.916 0.836
200 36 49 34 43 38 0 0.822 0.758 0.714 0.818 0.178 0.242 0.286 0.182
200 36 59 42 34 29 0 0.132 0.066 0.028 0.02 0.868 0.934 0.972 0.98
200 42 42 12 53 51 0 0.676 0.05 0.614 0.612 0.324 0.95 0.386 0.388
200 46 54 51 14 35 0 0.17 0.12 0.012 0.152 0.83 0.88 0.988 0.848
200 41 53 65 21 20 0 0.832 0.866 0.114 0.112 0.168 0.134 0.886 0.888
200 41 51 8 44 56 0 0.034 0.016 0.076 0.14 0.966 0.984 0.924 0.86
200 44 32 33 46 45 0 0.338 0.29 0.404 0.528 0.662 0.71 0.596 0.472
200 37 18 46 27 72 0 0.002 0.006 0.004 0.068 0.998 0.994 0.996 0.932
200 43 20 74 38 25 0 0.114 0.496 0.298 0.01 0.886 0.504 0.702 0.99
200 36 36 36 53 39 0 0.434 0.36 0.598 0.414 0.566 0.64 0.402 0.586
200 38 44 46 44 28 0 0.588 0.704 0.554 0.188 0.412 0.296 0.446 0.812
200 46 20 18 38 78 0 0.168 0.006 0.34 0.454 0.832 0.994 0.66 0.546
200 39 48 38 21 54 0 0.216 0.092 0.278 0.062 0.784 0.908 0.722 0.938
200 28 59 53 14 46 0 0.008 0.012 0 0.008 0.992 0.988 1 0.992
200 41 58 34 34 33 0 0.754 0.876 0.726 0.51 0.246 0.124 0.274 0.49
