Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
140 34 35 12 29 30 4 0.686 0.33 0.976 0.998 0.314 0.67 0.024 0.002
50 9 9 9 12 11 4 0.228 0.644 0.414 0.994 0.772 0.356 0.586 0.006
50 7 15 7 11 10 4 0.508 0.392 0.952 0.998 0.492 0.608 0.048 0.002
140 29 17 25 35 34 4 0.43 0.8 0.79 0.998 0.57 0.2 0.21 0.002
260 48 31 16 35 130 4 0.322 0.026 0.378 0.992 0.678 0.974 0.622 0.008
140 34 21 15 27 43 4 0.232 0.134 0.34 0.992 0.768 0.866 0.66 0.008
170 37 35 30 35 33 3 0.87 0.742 0.994 0.994 0.13 0.258 0.006 0.006
80 16 19 13 15 17 4 0.802 0.838 0.576 0.996 0.198 0.162 0.424 0.004
110 20 14 16 31 29 4 0.952 0.604 0.674 0.996 0.048 0.396 0.326 0.004
140 32 22 30 11 45 4 0.176 0.378 0.024 0.996 0.824 0.622 0.976 0.004
110 24 24 18 13 31 4 0.934 0.78 0.172 0.992 0.066 0.22 0.828 0.008
140 32 24 27 30 27 4 0.542 0.752 0.76 0.992 0.458 0.248 0.24 0.008
170 34 21 18 41 56 4 0.458 0.27 0.59 0.992 0.542 0.73 0.41 0.008
140 28 22 29 17 44 4 0.44 0.398 0.2 0.998 0.56 0.602 0.8 0.002
110 20 11 12 21 46 4 0.068 0.026 0.75 1 0.932 0.974 0.25 0
80 15 21 11 16 17 4 0.792 0.814 0.93 0.994 0.208 0.186 0.07 0.006
230 52 33 42 45 58 4 0.354 0.488 0.902 0.998 0.646 0.512 0.098 0.002
140 31 32 15 28 34 4 0.846 0.14 0.496 1 0.154 0.86 0.504 0
80 18 14 17 7 24 4 0.896 0.812 0.064 0.992 0.104 0.188 0.936 0.008
260 60 13 38 37 112 4 0.024 0.198 0.466 0.994 0.976 0.802 0.534 0.006
50 10 10 5 12 13 4 0.758 0.516 0.366 0.996 0.242 0.484 0.634 0.004
140 35 28 21 25 31 4 0.686 0.67 0.464 0.994 0.314 0.33 0.536 0.006
200 34 57 14 29 66 4 0.702 0.124 0.288 1 0.298 0.876 0.712 0
50 4 11 8 13 14 3 0.846 0.914 0.992 0.99 0.154 0.086 0.008 0.01
170 27 40 32 45 26 4 0.936 0.592 0.858 0.996 0.064 0.408 0.142 0.004
50 10 9 13 10 8 4 0.806 0.884 0.964 1 0.194 0.116 0.036 0
170 39 33 26 25 47 4 0.664 0.676 0.446 0.994 0.336 0.324 0.554 0.006
170 31 38 29 38 34 4 0.83 0.51 0.726 0.998 0.17 0.49 0.274 0.002
140 25 36 28 19 32 4 0.908 0.774 0.82 0.996 0.092 0.226 0.18 0.004
50 11 6 11 15 7 4 0.566 0.434 0.56 0.996 0.434 0.566 0.44 0.004
80 20 16 10 20 14 4 0.114 0.358 0.286 0.994 0.886 0.642 0.714 0.006
140 37 23 20 27 33 4 0.508 0.594 0.532 0.994 0.492 0.406 0.468 0.006
350 69 34 31 39 177 4 0.034 0.12 0.04 0.996 0.966 0.88 0.96 0.004
350 83 55 51 75 86 4 0.536 0.32 0.602 1 0.464 0.68 0.398 0
50 13 8 11 13 5 -1 0.986 0.978 0.956 0.992 0.014 0.022 0.044 0.008
350 62 29 41 39 179 4 0.096 0.228 0.158 1 0.904 0.772 0.842 0
80 13 23 10 9 25 4 0.57 0.014 0.016 1 0.43 0.986 0.984 0
50 10 11 10 12 7 4 0.696 0.968 0.764 0.996 0.304 0.032 0.236 0.004
