Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
200 45 21 38 31 65 4 0.482 0.312 0.35 0.996 0.518 0.688 0.65 0.004
50 12 8 15 7 8 4 0.976 0.902 0.102 0.992 0.024 0.098 0.898 0.008
410 82 13 30 18 267 0 0.006 0.09 0.006 0.988 0.994 0.91 0.994 0.012
140 32 28 17 24 39 4 0.33 0.178 0.436 1 0.67 0.822 0.564 0
230 50 18 37 32 93 4 0.094 0.146 0.086 0.998 0.906 0.854 0.914 0.002
200 44 39 39 29 49 4 0.364 0.586 0.28 0.994 0.636 0.414 0.72 0.006
110 21 19 25 11 34 4 0.524 0.944 0.242 0.992 0.476 0.056 0.758 0.008
80 15 19 10 17 19 4 0.848 0.878 0.856 0.994 0.152 0.122 0.144 0.006
140 22 21 35 28 34 4 0.664 0.88 0.888 0.992 0.336 0.12 0.112 0.008
80 26 9 16 12 17 4 0.236 0.854 0.302 0.998 0.764 0.146 0.698 0.002
110 29 6 17 23 35 4 0.02 0.284 0.968 0.998 0.98 0.716 0.032 0.002
50 7 9 13 7 14 4 0.894 0.966 0.972 0.998 0.106 0.034 0.028 0.002
230 51 42 9 19 109 4 0.292 0.058 0.062 1 0.708 0.942 0.938 0
200 42 46 14 23 75 4 0.848 0.012 0.086 1 0.152 0.988 0.914 0
140 30 12 23 32 43 4 0.096 0.086 0.522 1 0.904 0.914 0.478 0
260 51 23 11 39 136 4 0.058 0.082 0.458 0.992 0.942 0.918 0.542 0.008
80 15 21 9 13 22 4 0.922 0.044 0.452 1 0.078 0.956 0.548 0
110 21 19 27 19 24 4 0.84 0.822 0.822 1 0.16 0.178 0.178 0
170 27 38 31 31 43 4 0.682 0.818 0.672 1 0.318 0.182 0.328 0
170 37 30 34 32 37 4 0.902 0.652 0.774 0.998 0.098 0.348 0.226 0.002
170 37 10 27 15 81 4 0.03 0.21 0.026 0.996 0.97 0.79 0.974 0.004
200 50 31 15 21 83 4 0.126 0.014 0.046 0.996 0.874 0.986 0.954 0.004
380 75 63 72 89 81 4 0.458 0.482 0.574 0.998 0.542 0.518 0.426 0.002
320 68 36 76 27 113 4 0.132 0.302 0.134 0.992 0.868 0.698 0.866 0.008
200 44 10 54 33 59 4 0.116 0.79 0.34 0.992 0.884 0.21 0.66 0.008
110 25 21 20 8 36 4 0.65 0.54 0.362 0.994 0.35 0.46 0.638 0.006
50 8 12 7 9 14 4 0.542 0.186 0.73 0.992 0.458 0.814 0.27 0.008
140 27 41 25 13 34 4 0.454 0.584 0.312 0.992 0.546 0.416 0.688 0.008
170 29 23 32 35 51 4 0.548 0.774 0.636 1 0.452 0.226 0.364 0
230 48 9 28 37 108 4 0.076 0.052 0.152 1 0.924 0.948 0.848 0
50 12 7 12 12 7 2 0.658 1 0.982 0.998 0.342 0 0.018 0.002
80 12 17 19 17 15 -1 0.952 0.94 0.996 1 0.048 0.06 0.004 0
50 11 14 5 12 8 4 0.518 0.136 0.96 0.996 0.482 0.864 0.04 0.004
200 32 28 15 39 86 4 0.688 0.134 0.472 0.996 0.312 0.866 0.528 0.004
410 87 45 39 30 209 0 0.044 0.008 0.046 0.85 0.956 0.992 0.954 0.15
80 16 12 18 13 21 4 0.476 0.14 0.598 1 0.524 0.86 0.402 0
140 26 14 21 17 62 4 0.286 0.538 0.228 1 0.714 0.462 0.772 0
80 19 11 8 15 27 4 0.28 0.438 0.63 0.996 0.72 0.562 0.37 0.004
80 12 11 20 17 20 4 0.896 0.886 0.52 0.998 0.104 0.114 0.48 0.002
140 24 27 16 21 52 4 0.456 0.508 0.56 0.998 0.544 0.492 0.44 0.002
170 39 34 10 22 65 4 0.63 0.04 0.524 1 0.37 0.96 0.476 0
110 22 17 32 15 24 4 0.384 0.446 0.48 0.996 0.616 0.554 0.52 0.004
290 57 33 30 20 150 4 0.094 0.11 0.204 1 0.906 0.89 0.796 0
260 48 32 53 16 111 4 0.144 0.724 0.364 0.992 0.856 0.276 0.636 0.008
110 23 17 13 16 41 4 0.206 0.146 0.314 0.992 0.794 0.854 0.686 0.008
230 51 32 55 39 53 4 0.15 0.69 0.33 0.998 0.85 0.31 0.67 0.002
110 16 10 15 20 49 4 0.23 0.402 0.662 1 0.77 0.598 0.338 0
80 18 19 11 12 20 4 0.894 0.186 0.302 0.996 0.106 0.814 0.698 0.004
140 25 31 33 23 28 4 0.988 0.986 0.862 0.992 0.012 0.014 0.138 0.008
410 79 76 81 26 148 0 0.278 0.178 0.01 0.988 0.722 0.822 0.99 0.012
200 49 26 24 21 80 4 0.496 0.156 0.29 1 0.504 0.844 0.71 0
80 14 16 16 15 19 4 0.756 0.85 0.338 0.996 0.244 0.15 0.662 0.004
50 12 8 12 13 5 4 0.566 0.404 0.68 1 0.434 0.596 0.32 0
260 57 24 28 22 129 4 0.194 0.226 0.034 0.998 0.806 0.774 0.966 0.002
110 26 18 15 29 22 4 0.966 0.306 0.47 0.996 0.034 0.694 0.53 0.004
50 11 10 10 10 9 3 0.592 0.97 0.998 0.986 0.408 0.03 0.002 0.014
80 15 15 20 15 15 4 0.64 0.652 0.884 1 0.36 0.348 0.116 0
110 30 20 17 14 29 4 0.858 0.83 0.466 0.994 0.142 0.17 0.534 0.006
260 52 49 17 37 105 4 0.95 0.088 0.258 0.994 0.05 0.912 0.742 0.006
290 65 44 69 38 74 4 0.332 0.406 0.748 0.996 0.668 0.594 0.252 0.004
410 74 77 29 30 200 0 0.1 0.03 0.01 0.912 0.9 0.97 0.99 0.088
200 45 6 44 31 74 4 0.016 0.406 0.108 0.998 0.984 0.594 0.892 0.002
290 52 20 25 66 127 4 0.026 0.144 0.642 1 0.974 0.856 0.358 0
50 13 11 13 4 9 4 0.702 0.34 0.26 0.994 0.298 0.66 0.74 0.006
170 46 17 33 13 61 4 0.074 0.118 0.07 1 0.926 0.882 0.93 0
230 41 43 42 42 62 4 0.328 0.306 0.262 0.996 0.672 0.694 0.738 0.004
410 74 21 71 86 158 0 0.03 0.296 0.446 0.958 0.97 0.704 0.554 0.042
200 37 55 28 34 46 4 0.65 0.662 0.868 1 0.35 0.338 0.132 0
50 11 3 12 9 15 4 0.358 0.692 0.508 1 0.642 0.308 0.492 0
80 19 10 17 18 16 4 0.212 0.882 0.776 0.998 0.788 0.118 0.224 0.002
140 31 29 21 20 39 4 0.554 0.614 0.858 0.996 0.446 0.386 0.142 0.004
260 55 11 53 59 82 4 0.132 0.538 0.944 0.992 0.868 0.462 0.056 0.008
170 28 30 25 34 53 4 0.39 0.448 0.198 0.994 0.61 0.552 0.802 0.006
350 69 63 41 20 157 4 0.178 0.504 0.052 0.998 0.822 0.496 0.948 0.002
230 53 44 44 16 73 4 0.46 0.522 0.064 0.998 0.54 0.478 0.936 0.002
140 31 16 25 9 59 4 0.048 0.05 0.006 0.998 0.952 0.95 0.994 0.002
110 23 21 22 17 27 4 0.898 0.258 0.978 1 0.102 0.742 0.022 0
200 45 21 36 20 78 4 0.052 0.098 0.006 0.998 0.948 0.902 0.994 0.002
80 20 20 11 13 16 4 0.926 0.786 0.288 1 0.074 0.214 0.712 0
170 46 25 35 26 38 4 0.776 0.38 0.518 1 0.224 0.62 0.482 0
140 29 18 27 16 50 4 0.722 0.27 0.31 0.994 0.278 0.73 0.69 0.006
200 46 48 12 27 67 4 0.808 0.042 0.128 0.996 0.192 0.958 0.872 0.004
290 52 67 20 14 137 4 0.408 0.102 0.31 0.998 0.592 0.898 0.69 0.002
230 52 55 18 43 62 4 0.512 0.022 0.514 0.998 0.488 0.978 0.486 0.002
410 63 87 35 74 151 0 0.23 0.022 0.238 0.97 0.77 0.978 0.762 0.03
50 8 9 7 13 13 4 0.79 0.77 0.914 0.996 0.21 0.23 0.086 0.004
290 51 44 32 33 130 4 0.072 0.164 0.014 0.994 0.928 0.836 0.986 0.006
200 45 31 32 26 66 4 0.04 0.12 0.116 0.992 0.96 0.88 0.884 0.008
170 42 33 36 35 24 4 0.878 0.94 0.97 1 0.122 0.06 0.03 0
350 66 42 64 70 108 4 0.17 0.626 0.33 0.994 0.83 0.374 0.67 0.006
380 87 58 32 19 184 4 0.146 0.14 0.028 0.994 0.854 0.86 0.972 0.006
50 8 16 10 4 12 4 0.988 0.894 0.416 0.996 0.012 0.106 0.584 0.004
170 35 35 30 13 57 4 0.206 0.178 0.078 0.994 0.794 0.822 0.922 0.006
350 71 12 50 15 202 4 0.008 0.188 0.008 0.996 0.992 0.812 0.992 0.004
140 30 32 28 8 42 4 0.78 0.864 0.074 0.992 0.22 0.136 0.926 0.008
50 6 15 9 8 12 4 0.898 0.408 0.92 0.996 0.102 0.592 0.08 0.004
290 67 20 16 39 148 4 0.052 0.022 0.066 0.998 0.948 0.978 0.934 0.002
230 38 18 44 54 76 4 0.056 0.33 0.77 0.994 0.944 0.67 0.23 0.006
80 16 21 14 15 14 4 0.852 0.816 0.614 0.998 0.148 0.184 0.386 0.002
320 68 29 54 48 121 4 0.226 0.78 0.302 1 0.774 0.22 0.698 0
170 32 20 30 29 59 4 0.302 0.27 0.274 0.994 0.698 0.73 0.726 0.006
350 60 22 40 38 190 4 0.086 0.454 0.262 1 0.914 0.546 0.738 0
290 58 44 22 19 147 4 0.25 0.094 0.028 0.992 0.75 0.906 0.972 0.008
170 36 15 29 21 69 4 0.25 0.438 0.518 0.992 0.75 0.562 0.482 0.008
200 41 30 32 21 76 4 0.066 0.052 0.02 0.998 0.934 0.948 0.98 0.002
230 46 17 39 47 81 4 0.208 0.224 0.364 0.992 0.792 0.776 0.636 0.008
320 60 42 32 29 157 4 0.126 0.03 0.042 0.996 0.874 0.97 0.958 0.004
140 30 25 13 13 59 4 0.698 0.162 0.11 0.998 0.302 0.838 0.89 0.002
50 11 8 11 10 10 4 0.69 0.488 0.564 0.992 0.31 0.512 0.436 0.008
140 26 29 28 21 36 4 0.898 0.49 0.492 0.996 0.102 0.51 0.508 0.004
170 34 25 14 35 62 4 0.66 0.384 0.692 0.996 0.34 0.616 0.308 0.004
170 41 19 24 19 67 4 0.356 0.412 0.086 0.998 0.644 0.588 0.914 0.002
410 96 67 85 56 106 4 0.22 0.904 0.084 1 0.78 0.096 0.916 0
230 48 46 25 31 80 4 0.724 0.454 0.536 1 0.276 0.546 0.464 0
200 54 32 20 21 73 4 0.218 0.228 0.132 0.998 0.782 0.772 0.868 0.002
230 52 8 50 54 66 4 0.038 0.69 0.744 0.994 0.962 0.31 0.256 0.006
200 41 36 44 49 30 4 0.424 0.968 0.726 0.994 0.576 0.032 0.274 0.006
110 27 22 11 25 25 4 0.352 0.132 0.582 0.994 0.648 0.868 0.418 0.006
140 26 31 28 6 49 4 0.276 0.456 0.034 0.998 0.724 0.544 0.966 0.002
110 24 17 18 23 28 4 0.986 0.772 0.722 1 0.014 0.228 0.278 0
200 45 27 39 38 51 4 0.464 0.574 0.498 0.998 0.536 0.426 0.502 0.002
50 12 8 7 11 12 -1 0.962 0.954 0.972 0.994 0.038 0.046 0.028 0.006
80 20 19 9 17 15 4 0.714 0.294 0.764 0.998 0.286 0.706 0.236 0.002
110 14 23 21 22 30 4 0.29 0.452 0.45 1 0.71 0.548 0.55 0
200 45 51 29 42 33 4 0.894 0.896 0.826 1 0.106 0.104 0.174 0
290 72 32 18 24 144 4 0.132 0.21 0.146 0.998 0.868 0.79 0.854 0.002
170 40 35 13 39 43 4 0.632 0.016 0.72 0.998 0.368 0.984 0.28 0.002
230 39 46 44 31 70 4 0.49 0.92 0.78 1 0.51 0.08 0.22 0
170 37 26 38 24 45 4 0.874 0.608 0.572 1 0.126 0.392 0.428 0
80 18 9 10 20 23 4 0.076 0.27 0.87 0.996 0.924 0.73 0.13 0.004
230 36 36 14 21 123 4 0.364 0.07 0.116 0.996 0.636 0.93 0.884 0.004
80 18 6 15 20 21 3 0.232 0.676 0.992 0.962 0.768 0.324 0.008 0.038
50 12 12 9 10 7 4 0.936 0.686 0.748 0.992 0.064 0.314 0.252 0.008
140 23 15 19 25 58 4 0.164 0.504 0.788 0.996 0.836 0.496 0.212 0.004
110 22 18 17 23 30 4 0.486 0.624 0.734 0.998 0.514 0.376 0.266 0.002
140 32 28 19 33 28 4 0.94 0.496 0.914 0.998 0.06 0.504 0.086 0.002
80 18 15 17 13 17 4 0.936 0.984 0.724 1 0.064 0.016 0.276 0
350 79 42 41 32 156 4 0.34 0.154 0.166 0.994 0.66 0.846 0.834 0.006
410 88 77 38 68 139 0 0.248 0.12 0.568 0.954 0.752 0.88 0.432 0.046
410 92 85 35 22 176 0 0.172 0.026 0.008 0.962 0.828 0.974 0.992 0.038
410 89 48 97 24 152 4 0.194 0.302 0.106 0.998 0.806 0.698 0.894 0.002
170 38 24 20 41 47 4 0.834 0.332 0.764 0.996 0.166 0.668 0.236 0.004
320 54 45 49 65 107 4 0.196 0.254 0.628 0.996 0.804 0.746 0.372 0.004
140 26 26 22 14 52 4 0.176 0.28 0.108 0.996 0.824 0.72 0.892 0.004
140 19 26 22 29 44 4 0.542 0.542 0.49 0.998 0.458 0.458 0.51 0.002
410 95 10 74 78 153 4 0.01 0.27 0.206 1 0.99 0.73 0.794 0
410 98 92 17 80 123 0 0.484 0.03 0.346 0.978 0.516 0.97 0.654 0.022
260 61 25 30 33 111 4 0.334 0.498 0.29 1 0.666 0.502 0.71 0
200 37 41 21 30 71 4 0.452 0.068 0.24 0.994 0.548 0.932 0.76 0.006
140 23 22 29 27 39 4 0.568 0.846 0.792 0.998 0.432 0.154 0.208 0.002
200 34 22 27 16 101 4 0.02 0.116 0.066 0.994 0.98 0.884 0.934 0.006
80 17 17 17 10 19 4 0.392 0.6 0.252 0.998 0.608 0.4 0.748 0.002
290 58 28 22 29 153 4 0.088 0.054 0.132 0.998 0.912 0.946 0.868 0.002
290 56 39 57 59 79 4 0.278 0.426 0.292 0.992 0.722 0.574 0.708 0.008
110 25 24 18 21 22 4 0.818 0.862 0.254 0.998 0.182 0.138 0.746 0.002
50 9 8 10 12 11 4 0.666 0.62 0.89 0.994 0.334 0.38 0.11 0.006
170 43 31 29 34 33 4 0.448 0.518 0.892 0.998 0.552 0.482 0.108 0.002
290 47 44 56 42 101 4 0.158 0.71 0.214 0.998 0.842 0.29 0.786 0.002
320 60 50 42 47 121 4 0.6 0.274 0.372 0.996 0.4 0.726 0.628 0.004
230 46 16 37 29 102 4 0.054 0.11 0.19 0.998 0.946 0.89 0.81 0.002
410 87 36 63 33 191 0 0.028 0.048 0.006 0.962 0.972 0.952 0.994 0.038
110 22 17 27 16 28 4 0.476 0.548 0.228 0.996 0.524 0.452 0.772 0.004
140 36 22 25 29 28 4 0.392 0.576 0.88 1 0.608 0.424 0.12 0
50 11 6 12 12 9 4 0.948 0.826 0.628 1 0.052 0.174 0.372 0
80 17 12 19 10 22 4 0.804 0.666 0.432 0.994 0.196 0.334 0.568 0.006
260 49 25 67 43 76 4 0.13 0.642 0.758 0.992 0.87 0.358 0.242 0.008
200 44 32 42 14 68 4 0.49 0.332 0.08 0.992 0.51 0.668 0.92 0.008
140 28 16 14 37 45 4 0.44 0.12 0.63 1 0.56 0.88 0.37 0
260 45 74 37 27 77 4 0.82 0.32 0.288 1 0.18 0.68 0.712 0
80 14 10 16 13 27 4 0.41 0.578 0.712 1 0.59 0.422 0.288 0
80 17 14 24 2 23 4 0.51 0.774 0.122 0.996 0.49 0.226 0.878 0.004
50 9 14 10 9 8 4 0.86 0.924 0.848 1 0.14 0.076 0.152 0
260 53 19 25 33 130 4 0.104 0.014 0.078 0.996 0.896 0.986 0.922 0.004
110 28 27 24 13 18 4 0.704 0.856 0.428 0.996 0.296 0.144 0.572 0.004
170 40 11 11 24 84 4 0.018 0.016 0.226 1 0.982 0.984 0.774 0
230 51 34 59 24 62 4 0.232 0.878 0.208 0.992 0.768 0.122 0.792 0.008
170 34 18 23 42 53 4 0.122 0.234 0.48 0.994 0.878 0.766 0.52 0.006
230 36 29 28 46 91 4 0.136 0.356 0.38 0.994 0.864 0.644 0.62 0.006
170 35 51 26 6 52 4 0.39 0.188 0.016 1 0.61 0.812 0.984 0
410 70 29 27 104 180 0 0.198 0.616 0.478 0.982 0.802 0.384 0.522 0.018
230 54 36 29 39 72 4 0.434 0.306 0.89 0.996 0.566 0.694 0.11 0.004
170 34 29 30 28 49 4 0.358 0.444 0.414 0.996 0.642 0.556 0.586 0.004
80 18 17 13 17 15 4 0.73 0.93 0.842 0.998 0.27 0.07 0.158 0.002
200 34 55 26 27 58 4 0.388 0.1 0.42 0.992 0.612 0.9 0.58 0.008
380 76 31 106 84 83 4 0.39 0.66 0.578 1 0.61 0.34 0.422 0
260 53 43 51 43 70 4 0.24 0.468 0.448 0.996 0.76 0.532 0.552 0.004
50 11 8 8 11 12 4 0.396 0.786 0.67 0.998 0.604 0.214 0.33 0.002
170 40 9 30 47 44 4 0.07 0.314 0.77 0.992 0.93 0.686 0.23 0.008
80 19 15 12 21 13 4 0.89 0.708 0.796 0.996 0.11 0.292 0.204 0.004
230 41 42 26 48 73 4 0.506 0.094 0.512 1 0.494 0.906 0.488 0
260 50 59 58 30 63 4 0.718 0.782 0.13 0.994 0.282 0.218 0.87 0.006
80 17 22 12 17 12 4 0.852 0.71 0.898 0.992 0.148 0.29 0.102 0.008
140 20 30 24 30 36 4 0.5 0.518 0.34 0.996 0.5 0.482 0.66 0.004
110 25 21 18 21 25 4 0.274 0.41 0.356 0.996 0.726 0.59 0.644 0.004
230 48 19 27 34 102 4 0.004 0.18 0.096 1 0.996 0.82 0.904 0
80 13 12 14 21 20 4 0.234 0.442 0.702 1 0.766 0.558 0.298 0
170 27 34 30 42 37 4 0.596 0.6 0.626 0.996 0.404 0.4 0.374 0.004
80 11 29 13 15 12 4 0.6 0.752 0.864 0.998 0.4 0.248 0.136 0.002
50 7 7 11 12 13 4 0.506 0.488 0.676 1 0.494 0.512 0.324 0
110 22 18 16 27 27 4 0.528 0.214 0.772 0.996 0.472 0.786 0.228 0.004
170 33 26 13 43 55 4 0.516 0.246 0.784 0.994 0.484 0.754 0.216 0.006
260 54 15 68 33 90 4 0.088 0.654 0.29 0.998 0.912 0.346 0.71 0.002
140 31 22 15 26 46 4 0.102 0.54 0.584 0.996 0.898 0.46 0.416 0.004
170 33 27 19 30 61 4 0.17 0.03 0.074 0.996 0.83 0.97 0.926 0.004
110 23 13 15 22 37 4 0.536 0.916 0.906 1 0.464 0.084 0.094 0
110 22 26 18 7 37 4 0.106 0.406 0.14 0.998 0.894 0.594 0.86 0.002
200 36 53 33 23 55 4 0.626 0.704 0.276 1 0.374 0.296 0.724 0
50 9 9 8 10 14 4 0.828 0.948 0.976 0.998 0.172 0.052 0.024 0.002
260 38 21 43 27 131 4 0.024 0.458 0.144 1 0.976 0.542 0.856 0
170 29 19 33 42 47 4 0.836 0.892 0.97 0.998 0.164 0.108 0.03 0.002
140 22 31 33 19 35 4 0.77 0.888 0.42 0.996 0.23 0.112 0.58 0.004
110 17 13 20 19 41 4 0.43 0.59 0.706 0.992 0.57 0.41 0.294 0.008
410 83 69 101 37 120 0 0.338 0.366 0.04 0.832 0.662 0.634 0.96 0.168
140 29 29 23 27 32 -1 0.97 0.912 0.984 0.996 0.03 0.088 0.016 0.004
200 57 41 42 5 55 4 0.264 0.448 0.036 0.994 0.736 0.552 0.964 0.006
290 61 42 22 28 137 4 0.084 0.018 0.068 0.992 0.916 0.982 0.932 0.008
200 37 19 36 44 64 4 0.114 0.654 0.38 0.996 0.886 0.346 0.62 0.004
50 15 9 6 6 14 4 0.89 0.344 0.844 1 0.11 0.656 0.156 0
80 12 15 19 17 17 4 0.636 0.27 0.338 0.996 0.364 0.73 0.662 0.004
290 57 30 58 69 76 4 0.336 0.304 0.578 0.998 0.664 0.696 0.422 0.002
80 16 12 16 21 15 3 0.746 0.936 1 0.998 0.254 0.064 0 0.002
140 28 24 20 25 43 4 0.87 0.45 0.862 0.998 0.13 0.55 0.138 0.002
110 21 22 14 14 39 4 0.61 0.152 0.096 0.996 0.39 0.848 0.904 0.004
230 47 40 18 34 91 4 0.336 0.102 0.13 0.998 0.664 0.898 0.87 0.002
80 15 7 17 18 23 4 0.282 0.624 0.33 0.994 0.718 0.376 0.67 0.006
80 14 18 17 17 14 4 0.46 0.932 0.934 0.994 0.54 0.068 0.066 0.006
50 14 10 7 7 12 4 0.746 0.302 0.616 0.992 0.254 0.698 0.384 0.008
140 31 15 24 26 44 4 0.29 0.45 0.31 0.994 0.71 0.55 0.69 0.006
110 19 23 21 5 42 4 0.094 0.566 0.01 0.992 0.906 0.434 0.99 0.008
320 73 10 18 24 195 4 0.008 0.01 0.024 0.992 0.992 0.99 0.976 0.008
80 20 12 9 18 21 4 0.416 0.872 0.51 0.992 0.584 0.128 0.49 0.008
140 24 18 10 32 56 4 0.132 0.088 0.192 0.998 0.868 0.912 0.808 0.002
200 35 15 46 39 65 4 0.036 0.33 0.306 0.994 0.964 0.67 0.694 0.006
170 41 26 26 28 49 4 0.832 0.864 0.736 1 0.168 0.136 0.264 0
230 41 29 54 41 65 4 0.222 0.762 0.436 0.992 0.778 0.238 0.564 0.008
410 70 51 69 14 206 4 0.178 0.144 0.01 1 0.822 0.856 0.99 0
110 25 15 15 27 28 4 0.68 0.018 0.188 0.992 0.32 0.982 0.812 0.008
140 25 23 18 30 44 4 0.968 0.33 0.548 0.994 0.032 0.67 0.452 0.006
50 13 10 13 8 6 4 0.838 0.602 0.534 0.994 0.162 0.398 0.466 0.006
110 22 14 29 8 37 4 0.006 0.448 0.042 0.994 0.994 0.552 0.958 0.006
260 40 20 39 33 128 4 0.282 0.336 0.274 0.994 0.718 0.664 0.726 0.006
80 13 15 13 18 21 4 0.4 0.704 0.898 0.994 0.6 0.296 0.102 0.006
260 44 18 31 68 99 4 0.052 0.158 0.334 0.998 0.948 0.842 0.666 0.002
110 36 13 24 15 22 4 0.592 0.552 0.226 1 0.408 0.448 0.774 0
50 11 8 13 11 7 4 0.922 0.416 0.414 1 0.078 0.584 0.586 0
170 39 27 26 37 41 4 0.742 0.664 0.736 1 0.258 0.336 0.264 0
50 15 9 10 8 8 4 0.46 0.626 0.782 0.998 0.54 0.374 0.218 0.002
230 33 34 36 38 89 4 0.476 0.448 0.272 0.996 0.524 0.552 0.728 0.004
200 32 14 33 26 95 4 0.096 0.214 0.044 0.996 0.904 0.786 0.956 0.004
260 56 49 13 57 85 4 0.274 0.254 0.7 0.996 0.726 0.746 0.3 0.004
230 39 59 40 13 79 4 0.7 0.556 0.016 1 0.3 0.444 0.984 0
170 37 8 41 16 68 4 0.038 0.436 0.264 0.996 0.962 0.564 0.736 0.004
50 7 11 6 10 16 4 0.86 0.506 0.66 0.994 0.14 0.494 0.34 0.006
410 80 75 130 44 81 0 0.424 0.45 0.296 0.956 0.576 0.55 0.704 0.044
230 46 35 32 27 90 4 0.57 0.62 0.428 1 0.43 0.38 0.572 0
200 35 47 20 55 43 4 0.95 0.19 0.942 0.998 0.05 0.81 0.058 0.002
200 34 16 30 41 79 4 0.31 0.396 0.57 1 0.69 0.604 0.43 0
230 43 37 38 45 67 4 0.662 0.624 0.5 0.994 0.338 0.376 0.5 0.006
50 6 14 14 10 6 4 0.64 0.826 0.78 0.992 0.36 0.174 0.22 0.008
200 46 56 31 19 48 4 0.894 0.408 0.134 0.998 0.106 0.592 0.866 0.002
290 57 39 33 16 145 4 0.13 0.17 0.02 0.996 0.87 0.83 0.98 0.004
50 13 11 11 5 10 4 0.496 0.432 0.558 1 0.504 0.568 0.442 0
170 39 18 12 45 56 4 0.302 0.006 0.51 0.994 0.698 0.994 0.49 0.006
350 62 73 42 33 140 4 0.372 0.192 0.392 0.998 0.628 0.808 0.608 0.002
50 14 9 10 10 7 4 0.324 0.26 0.796 0.996 0.676 0.74 0.204 0.004
50 11 9 10 9 11 -1 0.972 0.952 0.904 0.994 0.028 0.048 0.096 0.006
50 10 7 9 14 10 4 0.796 0.68 0.804 1 0.204 0.32 0.196 0
410 71 66 98 37 138 0 0.2 0.282 0.174 0.988 0.8 0.718 0.826 0.012
50 9 6 12 11 12 4 0.176 0.824 0.962 0.992 0.824 0.176 0.038 0.008
170 31 43 34 22 40 4 0.73 0.908 0.218 0.998 0.27 0.092 0.782 0.002
110 17 15 30 21 27 4 0.374 0.91 0.64 0.992 0.626 0.09 0.36 0.008
50 11 12 12 8 7 4 0.93 0.974 0.832 0.994 0.07 0.026 0.168 0.006
410 91 43 55 15 206 0 0.074 0.012 0.014 0.958 0.926 0.988 0.986 0.042
170 34 15 34 40 47 4 0.4 0.818 0.768 0.994 0.6 0.182 0.232 0.006
80 18 13 19 14 16 4 0.878 0.954 0.96 1 0.122 0.046 0.04 0
320 58 34 59 63 106 4 0.102 0.224 0.598 0.998 0.898 0.776 0.402 0.002
230 55 34 54 29 58 4 0.37 0.808 0.314 0.992 0.63 0.192 0.686 0.008
230 52 23 13 41 101 4 0.104 0.122 0.104 0.992 0.896 0.878 0.896 0.008
50 14 12 9 8 7 1 0.996 0.862 0.514 0.966 0.004 0.138 0.486 0.034
50 11 8 7 9 15 4 0.554 0.558 0.76 1 0.446 0.442 0.24 0
170 35 12 36 24 63 4 0.078 0.344 0.284 0.998 0.922 0.656 0.716 0.002
230 40 25 34 34 97 4 0.354 0.5 0.102 0.994 0.646 0.5 0.898 0.006
260 55 44 20 19 122 4 0.614 0.1 0.14 0.992 0.386 0.9 0.86 0.008
410 88 60 84 59 119 0 0.09 0.452 0.396 0.934 0.91 0.548 0.604 0.066
140 23 38 17 26 36 4 0.462 0.266 0.682 1 0.538 0.734 0.318 0
80 12 15 16 11 26 1 0.996 0.462 0.314 0.954 0.004 0.538 0.686 0.046
80 16 19 11 16 18 4 0.848 0.496 0.938 1 0.152 0.504 0.062 0
110 17 14 28 23 28 4 0.518 0.956 0.9 1 0.482 0.044 0.1 0
290 51 36 62 60 81 4 0.266 0.646 0.56 0.992 0.734 0.354 0.44 0.008
110 16 20 26 16 32 4 0.646 0.556 0.53 1 0.354 0.444 0.47 0
170 36 36 25 40 33 4 0.988 0.742 0.63 0.994 0.012 0.258 0.37 0.006
140 23 11 23 38 45 4 0.474 0.354 0.832 0.996 0.526 0.646 0.168 0.004
110 21 16 20 16 37 4 0.724 0.33 0.348 0.998 0.276 0.67 0.652 0.002
110 18 27 19 17 29 4 0.77 0.284 0.936 0.996 0.23 0.716 0.064 0.004
140 28 9 13 45 45 4 0.11 0.178 0.946 0.998 0.89 0.822 0.054 0.002
50 13 8 12 12 5 4 0.416 0.89 0.502 0.996 0.584 0.11 0.498 0.004
140 31 16 18 30 45 4 0.188 0.494 0.572 0.996 0.812 0.506 0.428 0.004
170 27 42 8 39 54 4 0.682 0.026 0.6 1 0.318 0.974 0.4 0
50 14 12 5 13 6 2 0.486 0.994 0.856 0.872 0.514 0.006 0.144 0.128
230 42 44 36 34 74 4 0.32 0.192 0.22 0.992 0.68 0.808 0.78 0.008
50 17 12 7 4 10 4 0.72 0.278 0.684 1 0.28 0.722 0.316 0
380 89 60 52 31 148 4 0.266 0.296 0.228 0.996 0.734 0.704 0.772 0.004
140 20 9 21 41 49 4 0.022 0.142 0.74 0.998 0.978 0.858 0.26 0.002
260 52 41 16 35 116 4 0.494 0.216 0.19 1 0.506 0.784 0.81 0
80 16 19 16 16 13 4 0.956 0.968 0.842 0.994 0.044 0.032 0.158 0.006
50 12 13 8 6 11 4 0.774 0.866 0.914 0.992 0.226 0.134 0.086 0.008
110 29 12 14 22 33 4 0.446 0.402 0.326 0.998 0.554 0.598 0.674 0.002
140 27 28 27 9 49 4 0.648 0.866 0.072 1 0.352 0.134 0.928 0
260 46 66 20 36 92 4 0.546 0.05 0.212 0.996 0.454 0.95 0.788 0.004
